full_name,stars,html_url,language,Useful,description,classification,confidence_score,fetched_description
AI-QL/tuui,1101,https://github.com/AI-QL/tuui,TypeScript,Y- 1-2 relevant closed issues,"A desktop MCP client designed as a tool unitary utility integration, accelerating AI adoption through the Model Context Protocol (MCP) and enabling cross-vendor LLM API orchestration.",AI Agent with MCP Workflow,93,"A desktop MCP client designed as a tool unitary utility integration, accelerating AI adoption through the Model Context Protocol (MCP) and enabling cross-vendor LLM API orchestration."
IBM/mcp,301,https://github.com/IBM/mcp,,N,"A collection of Model Context Protocol (MCP) servers, clients and developer tools by IBM.",AI Agent with MCP Workflow,93,"A collection of Model Context Protocol (MCP) servers, clients and developer tools by IBM."
tuannvm/slack-mcp-client,151,https://github.com/tuannvm/slack-mcp-client,Go,Y-relevant,"A Slack bot and MCP client acts as a bridge between Slack and Model Context Protocol (MCP) servers. Using Slack as the interface, it enables large language models (LLMs) to connect and interact with v",MCP Application,93,"A Slack bot and MCP client acts as a bridge between Slack and Model Context Protocol (MCP) servers. Using Slack as the interface, it enables large language models (LLMs) to connect and interact with various MCP servers through standardized MCP tools."
mcpgod/cli,113,https://github.com/mcpgod/cli,TypeScript,Y-relevant but only 2-3 closed issues 0 open,"Fine-grained control over model context protocol (MCP) clients, servers, and tools. Context is God.",MCP Application,93,"Fine-grained control over model context protocol (MCP) clients, servers, and tools. Context is God."
apify/tester-mcp-client,74,https://github.com/apify/tester-mcp-client,TypeScript,Y-relevant,Model Context Protocol (MCP) Client for Apify's Actors,MCP Application,93,Model Context Protocol (MCP) Client for Apify's Actors
justjoehere/mcp_gradio_client,66,https://github.com/justjoehere/mcp_gradio_client,Python,N,This is a proof of concept repo on how to create a gradio UI using the Model Context Protocol Client Python SDK.,MCP Application Framework,93,This is a proof of concept repo on how to create a gradio UI using the Model Context Protocol Client Python SDK.
AI-QL/chat-mcp,240,https://github.com/AI-QL/chat-mcp,HTML,Y- 4 closed issues only,A Desktop Chat App that leverages MCP(Model Context Protocol) to interface with other LLMs.,MCP Application,93,A Desktop Chat App that leverages MCP(Model Context Protocol) to interface with other LLMs.
nanbingxyz/5ire,4792,https://github.com/nanbingxyz/5ire,TypeScript,N,"5ire is a cross-platform desktop AI assistant, MCP client. It compatible with major service providers,  supports local knowledge base and  tools via model context protocol servers .",AI Agent with MCP Workflow,90,"5ire is a cross-platform desktop AI assistant, MCP client. It compatible with major service providers,  supports local knowledge base and  tools via model context protocol servers ."
grab/cursor-talk-to-figma-mcp,5712,https://github.com/grab/cursor-talk-to-figma-mcp,JavaScript,N,"TalkToFigma: MCP integration between Cursor and Figma, allowing Cursor Agentic AI to communicate with Figma for reading designs and modifying them programmatically.",AI Agent with MCP Workflow,90,"TalkToFigma: MCP integration between Cursor and Figma, allowing Cursor Agentic AI to communicate with Figma for reading designs and modifying them programmatically."
teddynote-lab/langconnect-client,304,https://github.com/teddynote-lab/langconnect-client,TypeScript,Y-relevant but only 4 open issues,A Modern GUI Interface for Vector Database Management(Supports MCP integration),MCP Application,90,A Modern GUI Interface for Vector Database Management(Supports MCP integration)
biegehydra/BifrostMCP,190,https://github.com/biegehydra/BifrostMCP,TypeScript,N,VSCode Extension with an MCP server that exposes semantic tools like Find Usages and Rename to LLMs,MCP Application,90,VSCode Extension with an MCP server that exposes semantic tools like Find Usages and Rename to LLMs
akalaric/mcp-wolframalpha,52,https://github.com/akalaric/mcp-wolframalpha,Python,Y-relevant,A Python-powered Model Context Protocol MCP server and client that uses Wolfram Alpha via API.,MCP Application,88,A Python-powered Model Context Protocol MCP server and client that uses Wolfram Alpha via API.
apify/mcp-client-capabilities,49,https://github.com/apify/mcp-client-capabilities,TypeScript,N,Index of all Model Context Protocol (MCP) clients and their capabilities,MCP Application,88,Index of all Model Context Protocol (MCP) clients and their capabilities
TimeCyber/MCP-X,135,https://github.com/TimeCyber/MCP-X,TypeScript,Y-relevant but 0 issues,这是一个MCP客户端，让你轻松配置各个大模型，对接各种MCP Server而开发。This is an MCP client that allows you to easily configure various large models and develop interfaces with various MCP servers.,MCP Application,88,这是一个MCP客户端，让你轻松配置各个大模型，对接各种MCP Server而开发。This is an MCP client that allows you to easily configure various large models and develop interfaces with various MCP servers.
nbonamy/witsy,1748,https://github.com/nbonamy/witsy,TypeScript,Y-relevant,Witsy: desktop AI assistant / universal MCP client,MCP Application,88,Witsy: desktop AI assistant / universal MCP client
zaidmukaddam/scira-mcp-chat,815,https://github.com/zaidmukaddam/scira-mcp-chat,TypeScript,Y-relevant but few issues,A minimalistic MCP client with a good feature set.,MCP Application,88,A minimalistic MCP client with a good feature set.
Flux159/mcp-chat,128,https://github.com/Flux159/mcp-chat,TypeScript,Y-relevant but few issues,Open Source Generic MCP Client for testing & evaluating mcp servers and agents,AI Agent with MCP Workflow,85,Open Source Generic MCP Client for testing & evaluating mcp servers and agents
Ejb503/multimodal-mcp-client,207,https://github.com/Ejb503/multimodal-mcp-client,TypeScript,Y-relevant,A Multi-modal MCP client for voice powered agentic workflows,AI Agent with MCP Workflow,85,A Multi-modal MCP client for voice powered agentic workflows
assafelovic/gpt-researcher,24282,https://github.com/assafelovic/gpt-researcher,Python,Y-relevant but few issues,An LLM agent that conducts deep research (local and web) on any given topic and generates a long report with citations.,AI Agent with MCP Workflow,85,An LLM agent that conducts deep research (local and web) on any given topic and generates a long report with citations.
ruvnet/claude-flow,10092,https://github.com/ruvnet/claude-flow,JavaScript,N,"🌊 The leading agent orchestration platform for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features    enterprise-grade archite",MCP Application Framework,85,"🌊 The leading agent orchestration platform for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features    enterprise-grade architecture, distributed swarm intelligence, RAG integration, and native Claude Code support via MCP protocol. Ranked #1 in agent-based frameworks."
steipete/Peekaboo,790,https://github.com/steipete/Peekaboo,Swift,N,"Peekaboo is a macOS CLI & optional MCP server that enables AI agents to capture screenshots of applications, or the entire system, with optional visual question answering through local or remote AI mo",AI Agent with MCP Workflow,85,"Peekaboo is a macOS CLI & optional MCP server that enables AI agents to capture screenshots of applications, or the entire system, with optional visual question answering through local or remote AI models."
BIGPPWONG/EdgeBox,170,https://github.com/BIGPPWONG/EdgeBox,TypeScript,Y-relevant but very few issues,"A fully-featured, GUI-powered local LLM Agent sandbox with complete MCP protocol support.   Features both CLI and full desktop environment, enabling AI agents to operate browsers, terminal, and other ",AI Agent with MCP Workflow,85,"A fully-featured, GUI-powered local LLM Agent sandbox with complete MCP protocol support.   Features both CLI and full desktop environment, enabling AI agents to operate browsers, terminal, and other desktop applications just like humans. Based on E2B oss code."
executeautomation/mcp-playwright,5011,https://github.com/executeautomation/mcp-playwright,TypeScript,Y-relevant,"Playwright Model Context Protocol Server - Tool to automate Browsers and APIs in Claude Desktop, Cline, Cursor IDE and More 🔌",MCP Application,85,"Playwright Model Context Protocol Server - Tool to automate Browsers and APIs in Claude Desktop, Cline, Cursor IDE and More 🔌"
wutongci/crawl-mcp,29,https://github.com/wutongci/crawl-mcp,TypeScript,N,完整的微信文章抓取MCP服务器 - 基于Model Context Protocol (MCP)的智能网页抓取工具，专为Cursor IDE和AI工具设计。,MCP Application,85,完整的微信文章抓取MCP服务器 - 基于Model Context Protocol (MCP)的智能网页抓取工具，专为Cursor IDE和AI工具设计。
ConardLi/mcp-client-nodejs,96,https://github.com/ConardLi/mcp-client-nodejs,TypeScript,Y-relevant but very few issues,Node.js Client Implementation for Model Context Protocol (MCP),MCP Application,83,Node.js Client Implementation for Model Context Protocol (MCP)
felores/airtable-mcp,70,https://github.com/felores/airtable-mcp,JavaScript,N,"Search, create and update Airtable bases, tables, fields, and records using Claude Desktop and MCP (Model Context Protocol) clients",MCP Application,83,"Search, create and update Airtable bases, tables, fields, and records using Claude Desktop and MCP (Model Context Protocol) clients"
jonigl/mcp-client-for-ollama,390,https://github.com/jonigl/mcp-client-for-ollama,Python,Y-relevant,"A text-based user interface (TUI) client for interacting with MCP servers using Ollama. Features include multi-server, dynamic model switching, streaming responses, tool management, human-in-the-loop,",AI Agent with MCP Workflow,83,"A text-based user interface (TUI) client for interacting with MCP servers using Ollama. Features include agent mode, multi-server, dynamic model switching, streaming responses, tool management, human-in-the-loop, thinking mode, model parameters configuration, custom system prompt and saved preferences. Built for developers working with local LLMs."
adhikasp/mcp-client-cli,648,https://github.com/adhikasp/mcp-client-cli,Python,Y-relevant,A simple CLI to run LLM prompt and implement MCP client.,MCP Application,83,A simple CLI to run LLM prompt and implement MCP client.
wong2/mcp-cli,395,https://github.com/wong2/mcp-cli,JavaScript,Y,A CLI inspector for the Model Context Protocol,MCP Application,83,A CLI inspector for the Model Context Protocol
AterDev/ater.dry.cli,36,https://github.com/AterDev/ater.dry.cli,C#,Y-relevant but very few issues,"This is a tool that helps you quickly build backend services based on Asp.Net Core and EF Core. It provides command line, WebUI and IDE MCP support. In a well-designed project architecture that has be",MCP Application,82,"This is a tool that helps you quickly build backend services based on Asp.Net Core and EF Core. It provides command line, WebUI and IDE MCP support. In a well-designed project architecture that has been put into practice, code generation and LLM technology are used to reduce various template codes and greatly improve development efficiency!"
oraios/serena,16417,https://github.com/oraios/serena,Python,N,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),MCP Application Framework,80,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations)
ChromeDevTools/chrome-devtools-mcp,15362,https://github.com/ChromeDevTools/chrome-devtools-mcp,TypeScript,N,Chrome DevTools for coding agents,AI Agent with MCP Workflow,80,Chrome DevTools for coding agents
iOfficeAI/AionUi,2908,https://github.com/iOfficeAI/AionUi,TypeScript,Y,"Free, local, open-source GUI app for Gemini CLI, Claude Code, Codex, Qwen Code, and more — Enhanced Chat UI, WebUI, Multi-Agent & Multi-LLM, MCP Integration | 🌟 Star if you like it!",AI Agent with MCP Workflow,80,"Free, local, open-source GUI app for Gemini CLI, Claude Code, Codex, Qwen Code, and more — Enhanced Chat UI, WebUI, Multi-Agent & Multi-LLM, MCP Integration | 🌟 Star if you like it!"
ktnyt/cclsp,256,https://github.com/ktnyt/cclsp,TypeScript,N,Claude Code LSP: enhance your Claude Code experience with non-IDE dependent LSP integration.,MCP Application,80,Claude Code LSP: enhance your Claude Code experience with non-IDE dependent LSP integration.
rapiddweller/datamimic,29,https://github.com/rapiddweller/datamimic,Python,Y-Mcp server with no relevant issues,"🧠 Model-driven synthetic test data for CI/CD and analytics - deterministic, privacy-preserving, and domain-aware. Includes Python APIs, XML pipelines, and MCP/IDE integration to orchestrate realistic ",AI Agent with MCP Workflow,80,"🧠 Model-driven synthetic test data for CI/CD and analytics - deterministic, privacy-preserving, and domain-aware. Includes Python APIs, XML pipelines, and MCP/IDE integration to orchestrate realistic datasets for finance, healthcare, and other regulated environments."
feiskyer/chatgpt-copilot,138,https://github.com/feiskyer/chatgpt-copilot,TypeScript,Y-relevant but very few issues,ChatGPT Copilot Extension for Visual Studio Code,MCP Application,80,ChatGPT Copilot Extension for Visual Studio Code
DMontgomery40/mcp-3D-printer-server,118,https://github.com/DMontgomery40/mcp-3D-printer-server,TypeScript,Y-mcp server with no relevant issues,"Connects MCP to major 3D printer APIs (Orca, Bambu, OctoPrint, Klipper, Duet, Repetier, Prusa, Creality). Control prints, monitor status, and perform advanced STL operations like scaling, rotation, se",MCP Application,80,"Connects MCP to major 3D printer APIs (Orca, Bambu, OctoPrint, Klipper, Duet, Repetier, Prusa, Creality). Control prints, monitor status, and perform advanced STL operations like scaling, rotation, sectional editing, and base extension. Includes slicing and visualization."
marimo-team/codemirror-mcp,78,https://github.com/marimo-team/codemirror-mcp,TypeScript,N,CodeMirror extension to hook up a Model Context Provider (MCP),MCP Application,80,CodeMirror extension to hook up a Model Context Provider (MCP)
pathintegral-institute/mcpm.sh,804,https://github.com/pathintegral-institute/mcpm.sh,Python,N-MCP manager,CLI MCP package manager & registry for all platforms and all clients. Search & configure MCP servers. Advanced Router & Profile features.,MCP Application,78,CLI MCP package manager & registry for all platforms and all clients. Search & configure MCP servers. Advanced Router & Profile features.
sidharthrajaram/mcp-sse,299,https://github.com/sidharthrajaram/mcp-sse,Python,N,A working pattern for SSE-based MCP clients and servers,AI Agent with MCP Workflow,78,A working pattern for SSE-based MCP clients and servers
RealMikeChong/ultra-mcp,260,https://github.com/RealMikeChong/ultra-mcp,TypeScript,Y-relevant but very few issues,"100x Your Claude Code, Gemini CLI, Cursor and/or any coding tools with MCP client support",MCP Application,78,"100x Your Claude Code, Gemini CLI, Cursor and/or any coding tools with MCP client support"
luohy15/y-gui,165,https://github.com/luohy15/y-gui,TypeScript,Y - UI with MCP integration-no issues ,A Tiny Web Chat App for AI Models with MCP Client Support,MCP Application,78,A Tiny Web Chat App for AI Models with MCP Client Support
mshojaei77/ReActMCP,141,https://github.com/mshojaei77/ReActMCP,Python,Y,"ReActMCP is a reactive MCP client that empowers AI assistants to instantly respond with real-time, Markdown-formatted web search insights powered by the Exa API.",MCP Application,78,"ReActMCP is a reactive MCP client that empowers AI assistants to instantly respond with real-time, Markdown-formatted web search insights powered by the Exa API."
ThinkInAIXYZ/deepchat,4956,https://github.com/ThinkInAIXYZ/deepchat,TypeScript,Y-relevant,🐬DeepChat - A smart assistant that connects powerful AI to your personal world,AI Agent with MCP Workflow,78,🐬DeepChat - A smart assistant that connects powerful AI to your personal world
steipete/mcporter,407,https://github.com/steipete/mcporter,TypeScript,Y,"Call MCPs via TypeScript, masquerading as simple TypeScript API. Or package them as cli.",MCP Application,78,"Call MCPs via TypeScript, masquerading as simple TypeScript API. Or package them as cli."
syedazharmbnr1/claude-chatgpt-mcp,759,https://github.com/syedazharmbnr1/claude-chatgpt-mcp,JavaScript,N,A Claude MCP tool to interact with the ChatGPT desktop app on macOS,MCP Application,78,A Claude MCP tool to interact with the ChatGPT desktop app on macOS
dcSpark/mcp-dockmaster,80,https://github.com/dcSpark/mcp-dockmaster,Rust,Y,"MCP Dockmaster allows you to easily install and manage MCP servers. Available for Mac, Windows and Linux as a Desktop App, CLI and a library.",MCP Application Framework,78,"MCP Dockmaster allows you to easily install and manage MCP servers. Available for Mac, Windows and Linux as a Desktop App, CLI and a library."
3dify-project/dify-mcp-client,158,https://github.com/3dify-project/dify-mcp-client,Python,Y,MCP Client as an Agent Strategy Plugin. Support GUI operation via UI-TARS-SDK.,MCP Application Framework,75,MCP Client as an Agent Strategy Plugin. Support GUI operation via UI-TARS-SDK.
AstrBotDevs/AstrBot,13654,https://github.com/AstrBotDevs/AstrBot,Python,Y,"✨ Agentic IM ChatBot Infrastructure ✨ Integration with multiple IMs, easy-to-use plugin system, supports OpenAI, Gemini, Anthropic, Dify, Coze, built-in Knowledge Base, Agent. ✨ 一站式大模型聊天机器人平台及开发框架 ✨ 多",MCP Application Framework,75,"✨ Agentic IM ChatBot Infrastructure ✨ Integration with multiple IMs, easy-to-use plugin system, supports OpenAI, Gemini, Anthropic, Dify, Coze, built-in Knowledge Base, Agent. ✨ 一站式大模型聊天机器人平台及开发框架 ✨ 多消息平台（QQ, Telegram, 企微, 飞书, 钉钉等）集成，易用的插件系统，支持接入 OpenAI, Gemini, Anthropic, Dify, Coze, 阿里云百炼应用等平台，内置知识库、Agent 智能体"
livehybrid/splunk-mcp,79,https://github.com/livehybrid/splunk-mcp,Python,N,A Model Context Protocol (MCP) implementation for Splunk Enterprise and Cloud integration with Cursor IDE or Claude,MCP Application,75,A Model Context Protocol (MCP) implementation for Splunk Enterprise and Cloud integration with Cursor IDE or Claude
jasonjmcghee/claude-debugs-for-you,468,https://github.com/jasonjmcghee/claude-debugs-for-you,TypeScript,N,Enable any LLM (e.g. Claude) to interactively debug any language for you via MCP and a VS Code Extension,MCP Application,75,Enable any LLM (e.g. Claude) to interactively debug any language for you via MCP and a VS Code Extension
theWDY/office-editor-mcp,76,https://github.com/theWDY/office-editor-mcp,Python,N,基于MCP(Model Context Protocol)的Office文档处理助手，支持在MCP Client中创建和编辑Word、Excel、Powerpoint文档。,MCP Application,73,基于MCP(Model Context Protocol)的Office文档处理助手，支持在MCP Client中创建和编辑Word、Excel、Powerpoint文档。
mgreen27/mcp-velociraptor,58,https://github.com/mgreen27/mcp-velociraptor,Python,N,VelociraptorMCP is a Model Context Protocol bridge for exposing LLMs to MCP clients.,MCP Application,73,VelociraptorMCP is a Model Context Protocol bridge for exposing LLMs to MCP clients.
willccbb/mcp-client-server,123,https://github.com/willccbb/mcp-client-server,TypeScript,N,An MCP Server that's also an MCP Client. Useful for letting Claude develop and test MCPs without needing to reset the application.,MCP Application,73,An MCP Server that's also an MCP Client. Useful for letting Claude develop and test MCPs without needing to reset the application.
groq/groq-desktop-beta,374,https://github.com/groq/groq-desktop-beta,JavaScript,N,Local Groq Desktop chat app with MCP support,MCP Application,73,Local Groq Desktop chat app with MCP support
Canner/wren-engine,504,https://github.com/Canner/wren-engine,Java,Y-relevant,🤖 The Semantic Engine for Model Context Protocol(MCP) Clients and AI Agents 🔥,AI Agent with MCP Workflow,70,🤖 The Semantic Engine for Model Context Protocol(MCP) Clients and AI Agents 🔥 
MegaGrindStone/mcp-web-ui,88,https://github.com/MegaGrindStone/mcp-web-ui,Go,Y,MCP Web UI is a web-based user interface that serves as a Host within the Model Context Protocol (MCP) architecture. It provides a powerful and user-friendly interface for interacting with Large Langu,MCP Application,70,MCP Web UI is a web-based user interface that serves as a Host within the Model Context Protocol (MCP) architecture. It provides a powerful and user-friendly interface for interacting with Large Language Models (LLMs) while managing context aggregation and coordination between clients and servers.
n00bvn/CanvasMCPClient,54,https://github.com/n00bvn/CanvasMCPClient,TypeScript,Y but 0 issues,"Canvas MCP Client is an open-source, self-hostable dashboard application built around an infinite, zoomable, and pannable canvas. It provides a unified interface for interacting with multiple MCP (Mod",MCP Application,70,"Canvas MCP Client is an open-source, self-hostable dashboard application built around an infinite, zoomable, and pannable canvas. It provides a unified interface for interacting with multiple MCP (Model Context Protocol) servers through a flexible, widget-based system."
agentscope-ai/agentscope,14061,https://github.com/agentscope-ai/agentscope,Python,Y-relevant,AgentScope: Agent-Oriented Programming for Building LLM Applications,AI Agent with MCP Workflow,70,AgentScope: Agent-Oriented Programming for Building LLM Applications
mcp-shark/mcp-shark,85,https://github.com/mcp-shark/mcp-shark,JavaScript,N,"Wireshark-like forensic analysis for Model Context Protocol communications  Capture, inspect, and investigate all HTTP requests and responses between your IDE and MCP servers",MCP Application,70,"Wireshark-like forensic analysis for Model Context Protocol communications  Capture, inspect, and investigate all HTTP requests and responses between your IDE and MCP servers"
rusiaaman/wcgw,619,https://github.com/rusiaaman/wcgw,Python,Y - very few relevant issues,Shell and coding agent on claude desktop app,AI Agent with MCP Workflow,70,Shell and coding agent on claude desktop app
jtang613/GhidrAssistMCP,346,https://github.com/jtang613/GhidrAssistMCP,Java,Y - very few relevant issues,An MCP extension for Ghidra,MCP Application,70,An MCP extension for Ghidra
theronic/modex,107,https://github.com/theronic/modex,Clojure,N,"Modex is a Clojure MCP Library to augment your AI models with Tools, Resources & Prompts using Clojure (Model Context Protocol). Implements MCP Server & Client.",MCP Application Framework,68,"Modex is a Clojure MCP Library to augment your AI models with Tools, Resources & Prompts using Clojure (Model Context Protocol). Implements MCP Server & Client."
luohy15/y-cli,193,https://github.com/luohy15/y-cli,Python,Y,A Tiny Terminal Chat App for AI Models with MCP Client Support,MCP Application,68,A Tiny Terminal Chat App for AI Models with MCP Client Support
sooperset/mcp-client-slackbot,152,https://github.com/sooperset/mcp-client-slackbot,Python,Y - very few relevant issues,Simple Slackbot MCP Client,MCP Application,68,Simple Slackbot MCP Client
nwiizo/tfmcp,346,https://github.com/nwiizo/tfmcp,Rust,Y - very few relevant issues,"🌍 Terraform Model Context Protocol (MCP) Tool - An experimental CLI tool that enables AI assistants to manage and operate Terraform environments. Supports reading Terraform configurations, analyzing p",MCP Application,68,"🌍 Terraform Model Context Protocol (MCP) Tool - An experimental CLI tool that enables AI assistants to manage and operate Terraform environments. Supports reading Terraform configurations, analyzing plans, applying configurations, and managing state with Claude Desktop integration. ⚡️"
kalivaraprasad-gonapa/react-mcp,55,https://github.com/kalivaraprasad-gonapa/react-mcp,JavaScript,N,"react-mcp integrates with Claude Desktop, enabling the creation and modification of React apps based on user prompts",MCP Application,68,"react-mcp integrates with Claude Desktop, enabling the creation and modification of React apps based on user prompts"
infiniflow/ragflow,68342,https://github.com/infiniflow/ragflow,Python,Y-relevant,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,AI Agent with MCP Workflow,67,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs
ravitemer/mcphub.nvim,1637,https://github.com/ravitemer/mcphub.nvim,Lua,Y-relevant,"An MCP client for Neovim that seamlessly integrates MCP servers into your editing workflow with an intuitive interface for managing, testing, and using MCP servers with your favorite chat plugins.",AI Agent with MCP Workflow,65,"An MCP client for Neovim that seamlessly integrates MCP servers into your editing workflow with an intuitive interface for managing, testing, and using MCP servers with your favorite chat plugins."
IvanMurzak/Unity-MCP,542,https://github.com/IvanMurzak/Unity-MCP,C#,N,MCP Server + Plugin for Unity Editor and Unity game. The Plugin allows to connect to MCP clients like Claude Desktop or others.,MCP Application,65,MCP Server + Plugin for Unity Editor and Unity game. The Plugin allows to connect to MCP clients like Claude Desktop or others.
mcp-use/mcp-use-ts,161,https://github.com/mcp-use/mcp-use-ts,TypeScript,N-TS framework for mcp,"mcp-use is the framework for MCP with the best DX - Build AI agents, create MCP   servers with UI widgets, and debug with built-in inspector. Includes client SDK, server SDK, React hooks, and powerful",MCP Application Framework,65,"mcp-use is the framework for MCP with the best DX - Build AI agents, create MCP   servers with UI widgets, and debug with built-in inspector. Includes client SDK, server SDK, React hooks, and powerful dev tools."
