triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev/issues/2134,Inactivity timeout,"SSE stream in MCP server is closed after ~5 min of inactivity due to idle body timeout, causing all subsequent MCP calls to fail until the MCP session is restarted.",open,UNR,MCP-Server,Server ,,(proposed solution in issue) send periodic SSE heartbeat keep-alive messages to prevent idle timeout.,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/605,Unrecoverable MCPServer Session,Claude Code should be able to reset an MCP server within one session. A stated use case is developing and debugging new MCP servers.,closed,UNR,MCP Host,Host,,"Detect transport disconnects, automatically reconnect and re-establish the MCP client session, and support retry or resumption for in-progress operations such as resource polling so workflows can complete without restarting the Claude process.",,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/10071,Unrecoverable MCPServer Session,"The user reports that MCP connections (example: Atlassian) drop due to authentication timeouts, and that Claude Code currently detects the failure but requires the user to manually run /mcp and navigate reconnection steps, which breaks flow and can happen many times per session.",open,INC,MCP Host,Host,,"Add a first-class reconnection flow where Claude can request permission, trigger same-session reconnection for already-authorized services, and automatically retry the failed operation, with an option to avoid repeated prompts for the remainder of the session",,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/1026,Unrecoverable MCPServer Session,The issue requests an in-session reset/reconnect mechanism for an MCP server in Claude Code so developers can restart or reload MCP servers during development without having to restart the Claude Code process or lose the current session flow,closed,UNR,MCP Host,Host,,"Add first-class reconnection support that detects disconnects, tears down the stale transport/session, re-establishes the connection, re-runs capability discovery, and optionally retries or resumes in-progress MCP operations within the same Claude Code run.",,,
QwenLM/Qwen-Agent,https://github.com/QwenLM/Qwen-Agent/issues/514,Non-Actionable Capability Exposure,"Server exposes resources, but the client did not call `list_resources`/`read_resource`, relying on guesswork and leaving resources unused during discovery/execution.",closed,INC,MCP-Client,Host,https://github.com/QwenLM/Qwen-Agent/commit/aaca730cefa90f398510e71dc4156b507a82ed7f,Implement explicit resource consumption in the MCP manager: track advertised resources and expose `list_resources` and `read_resource` so callers fetch/use them.,qwen_agent/tools/mcp_manager.py,,
microsoft/autogen,https://github.com/microsoft/autogen/issues/6652,Non-Actionable Capability Exposure,"Server advertises prompts but the caller never invokes `get_prompt(...)`, so workflows start without the structured prompt.",open,INC,MCP-Client,Host,,Invoke prompt discovery (`get_prompt`) in the caller before agent start to consume advertised capabilities.,,,
browser-use/browser-use,https://github.com/browser-use/browser-use/issues/2453,Distorted Tool Definition,"MCP client reduced nested JSON Schema `object` params to a plain dict, dropping inner properties; tools received malformed args.",closed,INC,MCP-Client,Host,https://github.com/browser-use/browser-use/pull/2455,Recursively build nested Pydantic models in `_json_schema_to_python_type` for `object` with `properties`; add `test_mcp_nested_object_parameters` and serialize with `model_dump(exclude_none=True)`.,browser_use/mcp/client.py,,
makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server/issues/176,Distorted Tool Definition,"Tool calls with nested data objects fail because the MCP client sends the nested object as a JSON string, so the server receives a string where the schema expects an object, producing an invalid-arguments error and Zod type validation failure.",open,INC,MCP-Client,Server ,https://github.com/makenotion/notion-mcp-server/pull/180,"Add server-side parameter deserialization that detects stringified JSON values and parses them (recursively) into objects before schema validation, so double-serialized nested parameters from MCP clients are accepted.",src/openapi-mcp-server/mcp/proxy.ts,,
azure-ai-foundry/mcp-foundry,https://github.com/azure-ai-foundry/mcp-foundry/issues/55,Distorted Tool Definition,"Tool get_prototyping_instructions_for_github_and_labs failed when invoked with empty dict because it returned a dict (resource) instead of a string, causing type validation errors on the host side.",closed,UNR,MCP-Server,Server ,https://github.com/azure-ai-foundry/mcp-foundry/pull/58/commits/f2b8074eaa116703b8acd0b6e5b3d1c51aceccee,Fixed return to use `resource['content']` so the tool returns a string (as expected by Host) and invocation succeeds.,src/mcp_foundry/mcp_foundry_model/tools.py:231,,
awslabs/mcp,https://github.com/awslabs/mcp/issues/1001,Server Launch Context Mismatch,Fixed `TypeError` caused by unexpected `title` argument in `FastMCP` initialization; replaced `title` with `name` in the `Cost Explorer MCP Server` initialization.,closed,UNR,MCP-Server,Server ,https://github.com/awslabs/mcp/pull/1008,Replace `title` with `name` in `FastMCP` initialization to align with constructor expectations.,src/cost-explorer-mcp-server/awslabs/cost_explorer_mcp_server/server.py,,
JetBrains/mcp-jetbrains,https://github.com/JetBrains/mcp-jetbrains/issues/69,Non-Actionable Capability Exposure,Server does not implement `resources/list`; callers receive -32601 (Method not found) during discovery.,open,UNR,MCP-Server,Server ,,Implement `resources/list` (and related resource methods) or gate advertising accordingly; align feature flags with actual capabilities.,,,
FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus/issues/1162,Rejected Tool Definition,"The server's `list_files` tool advertised a JSON schema with `type: array` but was missing the required `items` field, causing a `PydanticInvalidJsonSchema` error on the client during tool discovery and schema parsing.",open,UNR|UIX,MCP-Server,Host,,,,,
mindsdb/mindsdb,https://github.com/mindsdb/mindsdb/issues/11122,Non-Actionable Capability Exposure,"The MCP server shows non-deterministic behavior where a previously working query becomes flaky after a failing query, suggesting contaminated session state or resource contention.",closed,INC,MCP-Server,Server ,https://github.com/mindsdb/mindsdb/pull/11218,"PR #11218 updates the MCP server's tool interface (query/list_databases) in start.py: clarifies required context, standardizes ok/table/error responses, and improves error return paths; marked as fixing #11122.",mindsdb/api/mcp/start.py,,
browser-use/browser-use,https://github.com/browser-use/browser-use/issues/2582,Inconsistent Tool-Result Assembly,Successful MCP tool result (ActionResult.extracted_content) isn't injected back into subsequent prompts; agent stalls.,open,INC,MCP-Host,Host,,,,,
daodao97/chatmcp,https://github.com/daodao97/chatmcp/issues/107,Server Launch Context Mismatch,"parameter splicing problem,",closed,INC|UIX,MCP-Server,Server ,,,,,
daodao97/chatmcp,https://github.com/daodao97/chatmcp/issues/101,Rejected Tool Definition,unable to find server tools,closed,INC,MCP-Client,Server ,,switch to STDIO mode,,,
daodao97/chatmcp,https://github.com/daodao97/chatmcp/issues/70,Rejected Tool Definition,"When ChatMCP connects to a FastMCP server in SSE mode, the server rejects client notifications and throws an initialization-order runtime error (“Received request before initialization was complete”), so the SSE session cannot be established and the workflow fail-stops.",closed,UNR,MCP-Client,Server ,,"Fix the client-side session handshake and notification encoding so ChatMCP only sends spec-conformant notification method names (e.g., notifications/initialized) and does not send requests before initialization completes, ensuring FastMCP can complete session initialization in SSE mode. fastmcp/server/server.py handle_sse (error surface) and MCP session receive loop (mcp/shared/session.py)",,,
daodao97/chatmcp,https://github.com/daodao97/chatmcp/issues/69,Inconsistent Tool-Result Assembly,tool call illusions when using deepseek,closed,INC|UIX,MCP-Server,Server ,,,,,
lobehub/lobe-chat,https://github.com/lobehub/lobe-chat/issues/10161,Server Launch Context Mismatch,"unable to connect to MCP server and receiving a ""405 Method Not Allowed"" error",closed,INC|UIX,MCP-Server,Host,,"use the Streamable HTTP endpoint provided by OpenMemory (not the SSE endpoint) and set the plugin type to ""Streamable HTTP"" in LobeChat. Also, make sure the endpoint URL ends with a trailing slash to avoid connection issues 3.",,,
lobehub/lobe-chat,https://github.com/lobehub/lobe-chat/issues/10161,Incompatible Transport Assumption,"LobeChat cannot connect to the OpenMemory MCP server container when creating a custom MCP plugin, and the server logs show a POST request to an SSE endpoint that is rejected with 405 Method Not Allowed, so the server becomes discoverable but not usable from this host.",closed,INC,MCP-Server,Host,,"Add explicit transport compatibility handling by either supporting SSE transport for custom MCP plugins or detecting SSE endpoints and guiding users to a Streamable-HTTP compatible endpoint or gateway, so the host does not attempt an unsupported request pattern and the capability becomes invocable.",,,
lobehub/lobe-chat,https://github.com/lobehub/lobe-chat/issues/8791,Inconsistent Tool-Result Assembly,send button buffers on too many calls,Closed as not planned,INC|UIX,MCP-Host,Host,,,,,
lobehub/lobe-chat,https://github.com/lobehub/lobe-chat/issues/8451,Inconsistent Tool-Result Assembly,github mcp server issue,Closed as not planned,,MCP-Server,Host,,,,,
QwenLM/Qwen-Agent,https://github.com/QwenLM/Qwen-Agent/issues/492,Inconsistent Tool-Result Assembly,logical error in execute_function,closed,INC,MCP-Host,Host,,,,,
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent/issues/523,Server Launch Context Mismatch,MCP app configuration failed,closed,INC,MCP-Host,Host,,,,,
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent/issues/328,Inconsistent Tool-Result Assembly,incorrect handling of tool output of empty list or None ,closed,INC|UIX,MCP-Client,Host,,,,,
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent/issues/302,Inconsistent Tool-Result Assembly,"Bedrock request error when multiple MCP tools are called
",closed,UIX|INC,MCP-Server,Host,,combine multiple tool results into single message,,,
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent/issues/298,Server Launch Context Mismatch,incorrect creation of Agent instance,closed,INC,MCP-Client,Host,,Agent instance must be initialised within async with self.app.run() as running_app:,,,
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent/issues/285,Inconsistent Tool-Result Assembly,JSON Array Return Values Should Preserve Original Structure Instead of Wrapping Each Element,closed,INC|UIX|PRF,MCP-Host,Host,,,,,
daodao97/chatmcp,https://github.com/daodao97/chatmcp/issues/107,Platform-Incorrect Server Launch,"STDIO setup on Windows always fails because of ""system directory""",closed,UNR,MCP-Host,Server ,https://github.com/daodao97/chatmcp/pulls?q=113,Fixed Windows path normalization and system directory checks.,lib/services/stdio_service.dart,,
daodao97/chatmcp,https://github.com/daodao97/chatmcp/issues/104,Inconsistent Tool-Result Assembly,[BUG] Streamable MCP not working,closed,INC,MCP-Client,Server ,https://github.com/daodao97/chatmcp/pulls?q=104,Corrected stream buffering and event parsing logic.,lib/services/mcp_client.dart,,
cursor/cursor,https://forum.cursor.com/t/mcp-integration-with-n8n-not-loading/136245/3,Server Launch Context Mismatch,incorrect mcp.json file being read,Not Resolved,"UIX, PRF",MCP- Host,Host,,,,,
cursor/cursor,https://forum.cursor.com/t/mcp-parameter-validation-fails-for-integer-in-anyof-integer-null-schemas/140969,Rejected Tool Definition,Host fails to validate integer parameters defined inside an anyOf schema,Not Resolved,"INC, UIX",MCP- Host,Host,,,,,
cursor/cursor,https://forum.cursor.com/t/home-assistant-mcp-integration/144904,Server Launch Context Mismatch,unable to call tools,Not Resolved,"INC, UIX",MCP- Client,Host,,,,,
cursor/cursor,https://forum.cursor.com/t/atlassian-mcp-authentication-issues/137550,Unrecoverable MCPServer Session,Incorrect OAuth authentication for remote mcp server,Not Resolved,UIX,MCP- Client,Host,,,,,
cursor/cursor,https://forum.cursor.com/t/mcp-atlassian-server-connected-but-not-responding-to-queries-in-cursor-ai/53672,Non-Actionable Capability Exposure,"Cursor reports the MCP-Atlassian server as connected and lists discovered tools in logs, but user queries in chat/composer do not trigger MCP tool use, so no Confluence data is returned despite an apparently healthy connection and available tools.",Resolved,"UIX, INC",MCP-Host,Host,,"Ensure the MCP-enabled execution path is actually active by default or clearly gated, and surface an explicit UI affordance that MCP tools are only used in Agent mode (or auto-switch / prompt the user), so “connected” status implies actionable tool routing for chat/composer queries.",,,
cursor/cursor,https://forum.cursor.com/t/cursor-agent-unable-to-use-the-huggingface-mcp-tools/144441,Rejected Tool Definition,Broken tool exposure ,Not Resolved,"INC, UIX",MCP -Server,Host,,,,,
cursor/cursor,https://forum.cursor.com/t/cline-and-cursor-have-the-same-mcp-json-configuration-but-cursor-still-cannot-call-mcp-tools/85075,Unscoped Tool Definition Loading,"The user configures identical MCP JSON for Cline and Cursor, but Cursor cannot call MCP tools even though servers appear running, and the same happens for multiple servers (e.g., “talk to Figma” and Milvus)",Resolved,INC,MCP-Host,Host,,Enforce and surface a clear tool-budget control by warning when the total enabled tools exceed the supported limit and by guiding users to disable other servers or scope the enabled tool set so the target server’s tools remain invocable,,,
cursor/cursor,https://forum.cursor.com/t/command-based-mcp-servers-not-exposing-tools-to-ai-assistant/145841,Rejected Tool Definition,Broken tool exposure ,Resolved,"INC, UIX",MCP -Host,Host,,Version update ,,,
cursor/cursor,https://forum.cursor.com/t/mcp-tools-with-name-conflicts-arent-routed-correctly/91168/4,Rejected Tool Definition,ambiguous calls to tools with same name disrupts its exposure,Resolved,"INC, UIX",MCP -Server,Host,,package created to distinguish them with server name followed by namespaced tool name,,,
cursor/cursor,https://forum.cursor.com/t/mcp-client-icon-sizes-incorrectly-validated-as-string-instead-of-array/145029,Rejected Tool Definition,Incorrect validation by client,Not Resolved,"INC, UIX",MCP- Client,Host,,,,,
cursor/cursor,https://forum.cursor.com/t/mcp-servers-are-not-exposed-to-agents/143482,Rejected Tool Definition,Broken tool (and server) exposure ,Resolved,"INC, UIX",MCP -Server,Host,,Version downgrade,,,
cursor/cursor,https://forum.cursor.com/t/not-all-mcp-tools-working-in-cursor-cli-authentication-problem/138775/3,Server Launch Context Mismatch,Unable to expose tools,Not Resolved,INC,MCP- Host,Host,,,,,
cursor/cursor,https://forum.cursor.com/t/mcp-servers-no-tools-found/49094/18,Server Launch Context Mismatch,MCP in Cursor fails when MCP tool times out,Not Resolved,"PRF, INC, UIX",MCP-Server,Host,,make sure the path where you install the server doesn’t contain spaces,,,
cursor/cursor,https://forum.cursor.com/t/mcp-issue-no-tools-or-prompt/125565/2,Inconsistent Tool-Result Assembly,Cursor cannot identify mcp json ,Resolved,"INC, UIX",MCP-Host,Host,,"version upgrade, configuring mcp json",,,
cursor/cursor,https://forum.cursor.com/t/cursor-agent-cli-is-unable-to-trigger-mcp-tool-properly/129387/6,Server Launch Context Mismatch,Cursor can identify mcp json correctly,Resolved,"PRF, INC, UIX",MCP-Host,Host,,configuring MCP service in MCP json,,,
cursor/cursor,https://forum.cursor.com/t/mcp-evaluation-surprising-results-in-cursor/131593?trk=public_post_comment-text,Inconsistent Tool-Result Assembly,"he Cursor Agent CLI fails to detect MCP tools configured in the global mcp.json file, unlike the IDE which loads them correctly.",Resolved,"INC, PRF, UIX",MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/15412,Inconsistent Tool-Result Assembly,Claude Code displays structuredContent but ignores the content array.,closed,"INC, UIX",MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/9962,Inconsistent Tool-Result Assembly,"Claude Code changed its MCP tool output display between versions, and now prioritizes structuredContent over TextContent when both are returned, which wraps otherwise pretty-printed text output inside a JSON object and significantly reduces human readability.",Closed as not planned,UIX,MCP-Host,Host,,"When both TextContent and structuredContent are present, prioritize TextContent for human-facing display, or provide a clear dual-view (text-first with an optional structured JSON toggle), and document the precedence policy to avoid undocumented breaking changes for servers that intentionally return both fields for compatibility.",,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/4427,Inconsistent Tool-Result Assembly,"Claude Code ignores CallToolResult.structuredContent even when the tool declares an outputSchema and returns an empty content list plus non-empty structuredContent, which leads Claude Code to report that the API returned no items despite logs showing the structured payload contains the expected data.",Closed as not planned,INC,MCP-Host,Host,,"When a tool declares outputSchema or when structuredContent is present, Claude Code should consume structuredContent as a first-class observation signal (or merge it with content) rather than treating empty content as an empty result, and it should define a stable precedence policy for content versus structuredContent",,,
cursor/cursor,https://forum.cursor.com/t/mcp-1-0-0-startup-race-condition-causes-no-server-info-found-and-broken-tool-offerings-works-in-0-49/100327,Rejected Tool Definition,"In version 1.0.0, the MCP main server begins handling client requests (like ListOfferings) before all auxiliary sub-servers have finished registering.",Not Resolved,"INC, UIX",MCP-Host,Host,,,,,
eyaltoledano/claude-task-master,https://github.com/eyaltoledano/claude-task-master/issues/1280,Unscoped Tool Definition Loading,"Context bloat, token limits, and configuration bugs across MCP layers.",closed,INC,MCP-Server,Server ,https://github.com/eyaltoledano/claude-task-master/pull/1181,Added configurable MCP tool loading to reduce context usage.,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/11364,Unscoped Tool Definition Loading,"Claude Code currently loads full MCP tool definitions into the model context up front, causing large startup context consumption. The issue proposes deferring tool-definition loading (e.g., fetch-on-first-use / caching) to reduce token overhead and improve efficiency.",closed,,MCP-Host,Host,https://github.com/stancld/rossum-agents/issues/108,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/12836,Unscoped Tool Definition Loading,Users with many MCP servers (and plugins/agents) pay substantial token cost in every new session because all tool definitions are loaded eagerly. The request proposes a deferred-discovery / deferred-loading mechanism so only needed tools are materialized into context,open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/11370,Unscoped Tool Definition Loading,"Claude Code marks an MCP server as disabled, but still injects that server’s tool definitions into the model context. This wastes tokens and also misleads the user/model because the tools appear available, yet invocation fails with “No such tool available.",closed,INC | PRF,MCP-Host,Host,https://github.com/anthropics/claude-code/issues/11370,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/16856,Unscoped Tool Definition Loading,"After upgrading to Claude Code 2.1.1, the user reports dramatically faster usage/cost consumption (hitting limits much earlier) under similar workflows. This reflects severe efficiency regression in session behavior and token usage.",open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/7172,Unscoped Tool Definition Loading,"Claude Code treats MCP servers as heavyweight session-scoped resources and eagerly loads tool schema definitions, inflating context usage. The request proposes runtime management (enable/disable in-session) and on-demand tool schema loading/unloading to reduce overhead.",open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/12333,Unscoped Tool Definition Loading,"A fresh Claude Code session starts with extremely high token usage (~80k), consuming a large portion of the context window before meaningful work begins. This reduces usable headroom and accelerates usage exhaustion.",closed,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/17902,Unscoped Tool Definition Loading,"Claude Code exposes the full tool catalog (native + skills + MCP) at all times, wasting context tokens and increasing the chance of selecting irrelevant/wrong tools. The request proposes dynamic tool introduction and filtering to improve both efficiency and tool-choice correctness.",open,INC | PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/19891,Unscoped Tool Definition Loading,"Claude Code’s /context reports token usage only in coarse buckets, making it hard to identify which MCP servers/tools/hooks/templates dominate startup context. This lack of visibility misleads users and prevents effective optimization of tool-definition overhead.",Closed as not planned / open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/12241,Unscoped Tool Definition Loading,“MCP tools and excessive context usage” (tool context ~144k tokens),open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/13717,Unscoped Tool Definition Loading,MCP tools consume 50% of context tokens - need consolidation strategies #13717,open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/3036,Unscoped Tool Definition Loading,Having multiple MCP servers running Eats into Context Window,closed,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/7336,Unscoped Tool Definition Loading,Lazy Loading for MCP Servers and Tools (95% context reduction possible),open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/6638,Unscoped Tool Definition Loading,"MCP servers are loaded at session start and remain in the context window for the entire session, consuming tokens even when not actively needed. This is particularly problematic for specialized tools like Linear that are heavily used during planning phases but rarely needed during implementation.",open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/7328,Unscoped Tool Definition Loading,"MCP servers are loaded at session start and remain in the context window for the entire session, consuming tokens even when not actively needed. This is particularly problematic for specialized tools like Linear that are heavily used during planning phases but rarely needed during implementation.",open,PRF,MCP-Host,Host,,,,,
anthropics/claude-code,https://github.com/anthropics/claude-code/issues/8101,Unscoped Tool Definition Loading,"Configurable MCP Tool Selection to Reduce Context Overhead add the option to not include some of the tools from MCP? Currently, I have 19.3k tokens getting wasted from extra mcp tools. I do want some of the tools from these MCP tools, just not all of them! I'd like to take a fraction so I can free up 15k tokens of context.",closed,PRF,MCP-Host,Host,,,,,
